year;code;name;amount;policy
2011;911M;Jefatura del Estado;8.434,28;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2011;911N;Actividad legislativa;216.421,09;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2011;911O;Control externo del Sector Público;62.216,14;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2011;911P;Control Constitucional;26.438,11;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2011;912N;Alto asesoramiento del Estado;10.476,16;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2011;951M;Amortización y gastos financieros de la deuda pública en moneda nacional;71.021.601,90;95. GASTOS FINANCIEROS DE LA DEUDA PUBLICA
2011;951N;Amortización y gastos financieros de la deuda pública en moneda extranjera;2.973.154,26;95. GASTOS FINANCIEROS DE LA DEUDA PUBLICA
2011;211N;Pensiones de Clases Pasivas;10.061.609,34;21. PENSIONES
2011;211O;Otras pensiones y prestaciones de Clases Pasivas;85.421,00;21. PENSIONES
2011;212N;Pensiones de guerra;342.301,00;21. PENSIONES
2011;111M;Gobierno del Poder Judicial;37.892,35;11. JUSTICIA
2011;111O;Selección y formación de jueces;26.691,66;11. JUSTICIA
2011;111P;Documentación y publicaciones judiciales;9.633,92;11. JUSTICIA
2011;141M;Dirección y Servicios Generales de Asuntos Exteriores;89.674,05;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2011;142A;Acción del Estado en el exterior;504.335,88;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2011;142B;Acción diplomática ante la Unión Europea;24.026,72;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2011;143A;Cooperación para el desarrollo;1.971.479,25;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2011;144A;Cooperación, promoción y difusión cultural en el exterior;114.944,65;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
2011;467G;Investigación y desarrollo de la Sociedad de la Información;3.782,45;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2011;000X;Transferencias internas (Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES Y DE COOPERACIÓN);921.036,54;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2011;111N;Dirección y Servicios Generales de Justicia;62.052,43;11. JUSTICIA
2011;111Q;Formación del Personal de la Administración de Justicia;11.780,03;11. JUSTICIA
2011;111R;Formación de la Carrera Fiscal;4.934,36;11. JUSTICIA
2011;112A;Tribunales de Justicia y Ministerio Fiscal;1.529.326,69;11. JUSTICIA
2011;113M;Registros vinculados con la Fe Pública;30.943,09;11. JUSTICIA
2011;135M;Protección de datos de carácter personal;14.437,97;13. SEGURIDAD CIUDADANA E INSTITUCIONES PENITENCIARIAS
2011;222M;Prestaciones económicas del Mutualismo Administrativo;22.355,40;22. OTRAS PRESTACIONES ECONÓMICAS
2011;312E;Asistencia sanitaria del Mutualismo Administrativo;80.766,57;31. SANIDAD
2011;467G;Investigación y desarrollo de la Sociedad de la Información;11.449,00;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2011;921S;Asesoramiento y defensa intereses del Estado;33.319,75;92. SERVICIOS DE CARÁCTER GENERAL
2011;000X;Transferencias internas (Sección: 13 MINISTERIO DE JUSTICIA);13.414,39;92. SERVICIOS DE CARÁCTER GENERAL
2011;121M;Administración y Servicios Generales de Defensa;1.234.354,79;12. DEFENSA
2011;121N;Formación del Personal de las Fuerzas Armadas;485.615,58;12. DEFENSA
2011;121O;Personal en reserva;546.558,68;12. DEFENSA
2011;122A;Modernización de las Fuerzas Armadas;383.151,67;12. DEFENSA
2011;122B;Programas especiales de modernización;204.525,47;12. DEFENSA
2011;122M;Gastos Operativos de las Fuerzas Armadas;2.362.737,85;12. DEFENSA
2011;122N;Apoyo Logístico;1.651.254,62;12. DEFENSA
2011;222M;Prestaciones económicas del Mutualismo Administrativo;121.343,68;22. OTRAS PRESTACIONES ECONÓMICAS
2011;312A;Asistencia hospitalaria en las Fuerzas Armadas;175.828,45;31. SANIDAD
2011;312E;Asistencia sanitaria del Mutualismo Administrativo;652.097,79;31. SANIDAD
2011;464A;Investigación y estudios de las Fuerzas Armadas;203.906,32;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
2011;912Q;Asesoramiento para la protección de los intereses nacionales;228.200,30;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
2011;931P;Control interno y Contabilidad Pública;314,02;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2011;000X;Transferencias internas (Sección: 14 MINISTERIO DE DEFENSA);310.199,78;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
2011;219N;Gestión de pensiones de Clases Pasivas;7.973,38;21. PENSIONES
2011;231G;Atención a la infancia y a las familias;600,00;23. SERVICIOS SOCIALES Y PROMOCIÓN SOCIAL
2011;337B;Conservación y restauración de bienes culturales;12.906,60;33. CULTURA
