Nómina mensual de pensiones - Tramos de cuantía  por Clase de pensión;
; Incapacidad permanente;Jubilación;Viudedad;Orfandad;Favor familiar;Todas las pensiones;
;Número pensiones;Número pensiones;Número pensiones;Número pensiones;Número pensiones;Número pensiones;
Hasta 150 euros;2.954;88.929;46.885;16.541;1.300;156.610;
De 150,01 a 250,00;3.120;54.359;53.245;141.396;4.940;257.060;
De 250,01 a 300,00;2.840;41.251;87.221;25.327;696;157.334;
De 300,01 a 350,00;11.581;74.331;196.681;18.809;664;302.066;
De 350,01 a 400,00;11.960;104.769;103.533;14.437;930;235.628;
De 400,01 a 450,00;58.133;336.700;123.027;11.397;586;529.843;
De 450,01 a 500,00;77.571;83.445;62.991;12.800;8.562;245.369;
De 500,01 a 550,00;38.142;71.632;87.462;7.999;12.342;217.578;
De 550,01 a 600,00;58.651;104.903;62.280;14.929;1.118;241.881;
De 600,01 a 650,00;71.115;748.012;83.180;10.677;959;913.943;
De 650,01 a 700,00;72.355;521.700;566.387;2.543;1.132;1.164.116;
De 700,01 a 750,00;41.558;181.895;121.745;40.126;930;386.254;
De 750,01 a 800,00;54.438;183.382;96.748;2.447;781;337.796;
De 800,01 a 850,00;47.756;409.230;71.224;2.143;877;531.229;
De 850,01 a 899,99;31.488;132.436;70.166;1.800;667;236.556;
De 900,00 a 1000,00;56.648;252.028;116.192;3.353;1.430;429.651;
De 1.000,01 a 1.100,00;49.894;263.707;100.958;2.814;1.093;418.466;
De 1.100,01 a 1.200,00;39.557;235.744;69.906;2.934;1.001;349.141;
De 1.200,01 a 1.300,00;34.827;223.055;52.770;2.285;959;313.895;
De 1.300,01 a 1.400,00;27.953;196.875;41.759;1.544;449;268.581;
De 1.400,01 a 1.500,00;23.762;171.862;49.217;816;291;245.949;
De 1.500,01 a 1.600,00;20.573;151.902;39.415;611;230;212.731;
De 1.600,01 a 1.700,00;17.786;142.773;24.052;425;163;185.198;
De 1.700,01 a 1.800,00;13.543;130.621;22.220;371;118;166.871;
De 1.800,01 a 1.900,00;11.519;112.908;7.735;273;84;132.520;
De 1.900,01 a 2.000,00;10.248;108.248;2.569;371;110;121.546;
De 2.000,01 a 2.100,00;9.281;100.211;1.102;377;90;111.061;
De 2.100,01 a 2.200,00;9.285;99.405;278;313;64;109.344;
De 2.200,01 a 2.300,00;8.295;95.669;169;74;20;104.227;
De 2.300,01 a 2.400,00;5.684;80.366;119;41;1;86.211;
De 2.400,01 a 2.500,00;4.557;80.833;86;11;3;85.491;
De 2.500,01 a 2.600,00;4.039;104.914;62;13;1;109.030;
De 2.600,01 a 2.659,39;2.413;54.141;28;2;--;56.583;
De 2.659,40 a 2.659,42;15.677;255.287;122;21;7;271.113;
Más de 2.659,42 euros;8.297;40.805;86;12;5;49.205;
Todos los tramos;957.500;6.038.326;2.361.620;340.030;42.601;9.740.076;
