911M;Jefatura del Estado;8.431,15;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
911N;Actividad legislativa;268.007,17;91. ÓRGANOS CONSTITUCIONALES, GOBIERNO Y OTROS
211B;Pensiones de Clases Pasivas;20.369.000,89;21. PENSIONES
211C;Otras pensiones y prestaciones de Clases Pasivas;49.447,74;21. PENSIONES
212B;Pensiones de guerra;81.093,93;21. PENSIONES
000X;Transferencias y libramientos internos (Sección: 07 CLASES PASIVAS);249,75;92. SERVICIOS DE CARÁCTER GENERAL
141M;Dirección y Servicios Generales de Asuntos Exteriores, Unión Europea y Cooperación;95.878,53;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
142A;Acción del Estado en el exterior;855.757,36;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
142B;Acción Diplomática ante la Unión Europea;24.399,75;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
143A;Cooperación para el desarrollo;998.051,19;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
144A;Cooperación, promoción y difusión cultural en el exterior;148.422,95;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
467G;Investigación y desarrollo de la Sociedad de la Información;1.759,66;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
000X;Transferencias y libramientos internos (Sección: 12 MINISTERIO DE ASUNTOS EXTERIORES, UNIÓN EUROPEA Y COOPERACIÓN);664.535,54;92. SERVICIOS DE CARÁCTER GENERAL
337B;Conservación y restauración de bienes culturales;8.027,14;33. CULTURA
422A;Incentivos regionales a la localización industrial;144.055,26;42. INDUSTRIA Y ENERGÍA
462N;Investigación y estudios estadísticos y económicos;6.512,02;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
467G;Investigación y desarrollo de la Sociedad de la Información;14.851,76;46. INVESTIGACIÓN, DESARROLLO, INNOVACIÓN Y DIGITALIZACIÓN
492N;Regulación y vigilancia de la competencia en el Mercado de Tabacos;8.717,91;49. OTRAS ACTUACIONES DE CARÁCTER ECONÓMICO
921T;Servicios de transportes de Ministerios;48.534,32;92. SERVICIOS DE CARÁCTER GENERAL
922N;Coordinación y relaciones financieras con los Entes Territoriales;16.008.898,70;92. SERVICIOS DE CARÁCTER GENERAL
923A;Gestión del Patrimonio del Estado;226.782,29;92. SERVICIOS DE CARÁCTER GENERAL
923M;Dirección y Servicios Generales de Hacienda y Función Pública;1.083.334,85;92. SERVICIOS DE CARÁCTER GENERAL
923N;Formación del personal de Economía y Hacienda;25.120,06;92. SERVICIOS DE CARÁCTER GENERAL
931N;Política presupuestaria;77.089,23;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
931O;Política tributaria;5.969,21;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
931P;Control interno y Contabilidad Pública;92.289,02;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
931Q;Control y Supervisión de la Política Fiscal;10.578,90;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
932A;Aplicación del sistema tributario estatal;1.395.873,89;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
932M;Gestión del catastro inmobiliario;114.037,93;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
932N;Resolución de reclamaciones económico-administrativas;31.297,26;93. ADMINISTRACIÓN FINANCIERA Y TRIBUTARIA
000X;Transferencias y libramientos internos (Sección: 15 MINISTERIO DE HACIENDA);1.421.979,15;92. SERVICIOS DE CARÁCTER GENERAL
144B;Cooperación, promoción y difusión educativa en el exterior;11.243,25;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
241B;Formación Profesional para el Empleo;1.178.386,26;24. FOMENTO DEL EMPLEO
321M;Dirección y Servicios Generales de Educación, Formación Profesional y Deportes;84.675,71;32. EDUCACIÓN
321N;Formación permanente del profesorado de Educación;1.847,44;32. EDUCACIÓN
322A;Educación Infantil y Primaria;194.695,38;32. EDUCACIÓN
322B;Educación Secundaria, Formación Profesional y Escuelas Oficiales de Idiomas;583.748,50;32. EDUCACIÓN
322E;Enseñanzas artísticas;4.757,97;32. EDUCACIÓN
322F;Educación en el exterior;110.156,67;32. EDUCACIÓN
322G;Educación compensatoria;4.144,07;32. EDUCACIÓN
322L;Inversiones en centros educativos y otras actividades educativas;396.706,44;32. EDUCACIÓN
323M;Becas y ayudas a estudiantes;2.549.784,10;32. EDUCACIÓN
336A;Fomento y apoyo de las actividades deportivas;248.585,87;33. CULTURA
000X;Transferencias y libramientos internos (Sección: 18 MINISTERIO DE EDUCACIÓN, FORMACIÓN PROFESIONAL Y DEPORTES);346.404,45;92. SERVICIOS DE CARÁCTER GENERAL
143A;Cooperación para el desarrollo;1.193,98;14. POLÍTICA EXTERIOR Y DE COOPERACIÓN PARA EL DESARROLLO
223A;Prestaciones de garantía salarial;830.000,45;22. OTRAS PRESTACIONES ECONÓMICAS
224A;Prestaciones económicas por cese de actividad;6.136,49;22. OTRAS PRESTACIONES ECONÓMICAS
241A;Fomento de la inserción y estabilidad laboral;4.120.944,54;24. FOMENTO DEL EMPLEO
241B;Formación Profesional para el Empleo;2.126.310,71;24. FOMENTO DEL EMPLEO
